d,n_per_pair,seed,threshold,n_true,n_discovered,tp,fp,fn,precision,recall,f1,disc_rmse,oracle_rmse,rmse_ratio
20,240,4,0.05,10,9,9,0,1,1.0,0.9,0.9473684210526316,0.05424747904717063,0.005093961829710597,10.649368970684373
20,480,0,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.004917233422508681,0.004282621635766211,1.14818301515187
20,480,0,0.01,10,10,10,0,0,1.0,1.0,1.0,0.00428262163576192,0.004282621635766211,0.9999999999989981
20,480,0,0.02,10,10,10,0,0,1.0,1.0,1.0,0.00428262163576192,0.004282621635766211,0.9999999999989981
20,480,0,0.05,10,10,10,0,0,1.0,1.0,1.0,0.00428262163576192,0.004282621635766211,0.9999999999989981
20,480,1,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.00510983462341871,0.004380528439456891,1.1664881746669449
20,480,1,0.01,10,10,10,0,0,1.0,1.0,1.0,0.004380528439457572,0.004380528439456891,1.0000000000001554
20,480,1,0.02,10,10,10,0,0,1.0,1.0,1.0,0.004380528439457572,0.004380528439456891,1.0000000000001554
20,480,1,0.05,10,10,10,0,0,1.0,1.0,1.0,0.004380528439457572,0.004380528439456891,1.0000000000001554
20,480,2,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.004719456259264541,0.004059814981575353,1.1624806255168858
20,480,2,0.01,10,10,10,0,0,1.0,1.0,1.0,0.004059814981575604,0.004059814981575353,1.0000000000000617
20,480,2,0.02,10,10,10,0,0,1.0,1.0,1.0,0.004059814981575604,0.004059814981575353,1.0000000000000617
20,480,2,0.05,10,10,10,0,0,1.0,1.0,1.0,0.004059814981575604,0.004059814981575353,1.0000000000000617
20,480,3,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.004511064174639639,0.003916758827309598,1.1517339651311302
20,480,3,0.01,10,10,10,0,0,1.0,1.0,1.0,0.003916758827318199,0.003916758827309598,1.000000000002196
20,480,3,0.02,10,10,10,0,0,1.0,1.0,1.0,0.003916758827318199,0.003916758827309598,1.000000000002196
20,480,3,0.05,10,10,10,0,0,1.0,1.0,1.0,0.003916758827318199,0.003916758827309598,1.000000000002196
20,480,4,0.005,10,20,10,10,0,0.5,1.0,0.6666666666666666,0.005131495759452832,0.004324379023657741,1.1866433842592266
